city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Moers;Germany;;2019;33690;34215;34885;34559;34655;DE023C1;2870221
Darmstadt;Germany;;2019;88036;89036;88119;86131;94608;DE025C1;2938913
Trier;Germany;;2019;52842;52346;54556;54338;53543;DE026C1;2821164
Freiburg im Breisgau;Germany;;2019;60702;61040;62205;61897;62322;DE027C1;2925177
Regensburg;Germany;;2019;106762;104575;107717;106590;105189;DE028C1;2849483
Frankfurt (Oder);Germany;;2019;44137;42622;43131;44770;43796;DE029C1;2925535
Weimar;Germany;;2019;37585;37663;37984;38583;38020;DE030C1;2812482
Schwerin;Germany;;2019;46346;45997;48143;47084;47038;DE031C1;2834282
Erfurt;Germany;;2019;46296;48272;48494;47977;48167;DE032C1;2929670
Augsburg;Germany;;2019;61130;58885;58926;61674;60726;DE033C1;2954172
Bonn;Germany;;2019;91947;96636;87653;86735;87650;DE034C1;2946447
Karlsruhe;Germany;;2019;78827;77399;77577;79554;77822;DE035C1;2892794
Mönchengladbach;Germany;;2019;40405;39678;40128;40932;41445;DE036C1;2869894
Mainz;Germany;;2019;71248;70722;69981;69649;69640;DE037C1;2874225
Kiel;Germany;;2019;54419;55712;57013;56251;56908;DE039C1;2891122
Saarbrücken;Germany;;2019;54919;55164;55334;55458;55508;DE040C1;2842647
Potsdam;Germany;;2019;49427;48399;49642;50178;50123;DE041C1;2852458
Koblenz;Germany;;2019;85726;86606;88243;90160;88114;DE042C1;2886946
Rostock;Germany;;2019;41860;43865;45131;44640;43661;DE043C1;2844588
Kaiserslautern;Germany;;2019;53554;53742;59171;58841;60680;DE044C1;2894003
Iserlohn;Germany;;2019;42772;43642;43738;44991;44683;DE045C1;2895669
Esslingen am Neckar;Germany;;2019;49499;48104;49037;50398;49682;DE046C1;2928751
Hanau;Germany;;2019;41688;40553;40677;40674;41995;DE047C1;2911007
Wilhelmshaven;Germany;;2019;49465;48823;50174;50047;50002;DE048C1;2808720
Ludwigsburg;Germany;;2019;52142;52514;54437;55209;56155;DE049C1;2875392
Tübingen;Germany;;2019;39384;39828;40146;40483;42061;DE050C1;2820860
Villingen-Schwenningen;Germany;;2019;44498;44376;46855;47538;46957;DE051C1;2817220
Flensburg;Germany;;2019;52814;52099;51371;52961;52387;DE052C1;2926271
Marburg;Germany;;2019;42761;43553;44491;43633;44684;DE053C1;2814153
Konstanz;Germany;;2019;41184;42568;42313;41697;42497;DE054C1;2885679
Neumünster;Germany;;2019;46829;47615;49476;49003;48552;DE055C1;2864475
