city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Toulon;France;;2019;30365;29789;28849;29258;29664;FR032C2;2972328
Valenciennes;France;;2019;35070;35243;35158;36167;36249;FR034C2;2971041
Tours;France;;2019;34947;35132;35521;35910;36005;FR035C2;2972191
Angers;France;;2019;32431;32537;31743;32731;33028;FR036C2;3037656
Brest;France;;2019;32439;32856;33558;32994;33069;FR037C1;3030300
Le Mans;France;;2019;35060;34848;35028;34692;35061;FR038C2;3003603
Avignon;France;;2019;35361;35878;35457;36827;37377;FR039C2;3035681
Mulhouse;France;;2019;32691;32857;33300;33190;33706;FR040C2;2991214
Dunkerque;France;;2019;35070;35243;35158;36167;36249;FR042C1;3020686
Perpignan;France;;2019;28092;27674;27033;27752;27680;FR043C2;2987914
Nîmes;France;;2019;28233;27797;27385;28254;28453;FR044C2;2990363
Pau;France;;2019;36956;37433;36866;36967;36755;FR045C2;2988358
Bayonne;France;;2019;36956;37433;36866;36967;36755;FR046C2;3034475
Annemasse;France;;2019;35566;35558;35545;35782;36165;FR047C2;3037538
Annecy;France;;2019;35566;35558;35545;35782;36165;FR048C1;3037543
Lorient;France;;2019;30449;30433;30750;30711;31049;FR049C2;2997577
Montbéliard;France;;2019;32710;32952;34354;33762;33709;FR050C2;2992938
Troyes;France;;2019;32800;32452;30778;31879;30885;FR051C2;2971549
Saint-Nazaire;France;;2019;40469;40389;40472;41571;42189;FR052C2;2977921
La Rochelle;France;;2019;29859;29521;30589;29975;30095;FR053C1;3006787
Angoulême;France;;2019;33987;33818;31959;34755;34825;FR056C1;3037598
Boulogne-sur-Mer;France;;2019;27499;27552;27409;27549;28003;FR057C2;3031133
Chambéry;France;;2019;40551;40424;40578;40530;41304;FR058C2;3027422
Chalon-sur-Saône;France;;2019;30865;30943;31076;31139;31247;FR059C2;3027484
Chartres;France;;2019;30531;30680;29889;30860;31037;FR060C2;3026467
Niort;France;;2019;34677;35059;33533;35106;34493;FR061C2;2990355
Calais;France;;2019;27499;27552;27409;27549;28003;FR062C1;3029162
Béziers;France;;2019;35211;34390;34287;34188;34433;FR063C2;3032833
Arras;France;;2019;27499;27552;27409;27549;28003;FR064C2;3036784
Bourges;France;;2019;30226;30144;30019;30190;31085;FR065C2;3031005
Saint-Brieuc;France;;2019;29321;29413;29485;30022;30376;FR066C1;2981280
Quimper;France;;2019;32439;32856;33558;32994;33069;FR067C2;2984701
Vannes;France;;2019;30449;30433;30750;30711;31049;FR068C2;2970777
Cherbourg;France;;2019;29383;30084;29205;29873;29776;FR069C1;3025466
Tarbes;France;;2019;29907;30379;30655;30286;30394;FR073C2;2973385
Compiègne;France;;2019;31602;31108;30861;31785;31209;FR074C2;3024066
Belfort;France;;2019;35005;31662;32762;32730;32843;FR076C2;3033791
Roanne;France;;2019;32818;32501;32790;32723;33087;FR077C1;2983362
Saint-Quentin;France;;2019;27641;27502;27076;27390;27117;FR079C2;2977295
Beauvais;France;;2019;31602;31108;30861;31785;31209;FR082C2;3034006
Creil;France;;2019;31602;31108;30861;31785;31209;FR084C1;3022610
Evreux;France;;2019;29043;28816;28302;28839;28429;FR086C2;3019265
Châteauroux;France;;2019;29180;28512;28326;28742;28309;FR090C2;3026204
Brive-la-Gaillarde;France;;2019;31461;30909;30848;30674;30545;FR093C2;3029974
Albi;France;;2019;27267;26684;27894;26730;27225;FR096C2;3038261
Fréjus;France;;2019;30365;29789;28849;29258;29664;FR099C1;3017253
Châlons-en-Champagne;France;;2019;41344;41113;37276;40704;40578;FR104C2;3027487
Aubagne;France;;2019;43219;42048;42238;42430;41776;FR201C1;3036433
Aix-en-Provence;France;;2019;43219;42048;42238;42430;41776;FR202C1;3038354
Marseille;France;;2019;43219;42048;42238;42430;41776;FR203C1;2995469
Nice;France;;2019;41347;41104;40833;41001;42167;FR205C2;2990440
CA de Sophia-Antipolis;France;;2019;41347;41104;40833;41001;42167;FR206C1;6640252
Lens - Liévin;France;;2019;27499;27552;27409;27549;28003;FR207C1;6618369
Hénin - Carvin;France;;2019;27499;27552;27409;27549;28003;FR208C1;3003091
Douai;France;;2019;35070;35243;35158;36167;36249;FR209C2;3021000
Versailles;France;;2019;47433;47965;47050;48767;49206;FR211C1;2969679
CC de la Boucle de la Seine;France;;2019;47433;47965;47050;48767;49206;FR212C1;6457364
Sénart en Essonne;France;;2019;43784;46272;46054;46495;46692;FR213C1;3019599
Valence;France;;2019;33163.2639670096;33112.6419539939;33032.0609570415;33318.795105484;33033.060768828;FR214C1;2971053
Rouen;France;;2019;38077;38100;38015;38466;38678;FR215C2;2982652
CA Marne et Chantereine;France;;2019;37704;36597;36454;36544;36845;FR216C1;2972444
CA les Portes de l'Essonne;France;;2019;43784;46272;46054;46495;46692;FR221C1;6451944
Melun;France;;2019;37704;36597;36454;36544;36845;FR304C1;2994651
Meaux;France;;2019;37704;36597;36454;36544;36845;FR305C1;2994798
Mantes en Yvelines;France;;2019;47433;47965;47050;48767;49206;FR306C1;2996147
Evry;France;;2019;43784;46272;46054;46495;46692;FR308C1;3019256
CA de la Vallée de Montmorency;France;;2019;39441;38853;35795;35725;35760;FR323C1;6454892
Martigues;France;;2019;43219;42048;42238;42430;41776;FR324C1;2995387
Cergy-Pontoise;France;;2019;39441;38853;35795;35725;35760;FR504C1;8555643
Charleville-Mézières;France;;2019;27196;27712;27602;27655;27472;FR505C1;3026613
Colmar;France;;2019;32691;32857;33300;33190;33706;FR506C1;3024297
Saint-Quentin en Yvelines;France;;2019;47433;47965;47050;48767;49206;FR518C1;8533870
Zagreb;Croatia;;2019;40996;40091;40183;41163;42307;HR001C1;3186886
Rijeka;Croatia;;2019;29107;28152;28513;28629;29394;HR002C1;3191648
Slavonski Brod;Croatia;;2019;12283;12288;12051;12591;13295;HR003C1;3190586
Osijek;Croatia;;2019;17250;17475;17325;17923;18838;HR004C1;3193935
Split;Croatia;;2019;16982;16990;17128;17739;18581;HR005C1;3190261
Budapest;Hungary;;2019;52228;51724;53336;53329;54958;HU001C1;3054643
Miskolc;Hungary;;2019;14565;15355;16651;18998;19206;HU002C1;717582
Nyíregyháza;Hungary;;2019;13342;13655;14458;14910;15358;HU003C1;716935
Pécs;Hungary;;2019;15862;15961;16504;17142;17763;HU004C1;3046526
Debrecen;Hungary;;2019;17935;17586;18459;18984;18842;HU005C1;721472
Szeged;Hungary;;2019;18089;18259;19538;20059;20247;HU006C1;715429
Gyõr;Hungary;;2019;28017;29630;32385;34825;36620;HU007C1;3052009
Kecskemét;Hungary;;2019;17045;18474;19260;20894;21152;HU008C1;3050434
Székesfehérvár;Hungary;;2019;22528;23785;25348;27674;28785;HU009C1;3044774
Szombathely;Hungary;;2019;22632;23996;25378;26046;26942;HU010C1;3044310
Dublin;Ireland;;2019;78226;84028;92698;91569;101829;IE001C1;2964574
Cork;Ireland;;2019;66066;60699;68117;NA;NA;IE002C1;2965140
Limerick;Ireland;;2019;43267;40650;38575;NA;NA;IE003C1;2962943
Galway;Ireland;;2019;42562;37042;39633;40317;37914;IE004C1;2964180
Waterford;Ireland;;2019;33321;39335;38539;42369;42830;IE005C1;2960992
Roma;Italy;;2019;52439;49309;47342;46954;49528;IT001C1;3169070
Milano;Italy;;2019;71720;68355;68162;68923;71163;IT002C1;3173435
Napoli;Italy;;2019;25735;24424;24371;24625;25161;IT003C1;3172394
Torino;Italy;;2019;41982;41621;40705;41117;41734;IT004C1;3165524
Palermo;Italy;;2019;25832;25066;24211;24582;24261;IT005C1;2523920
Genova;Italy;;2019;45315;43904;44786;45447;45569;IT006C1;3176219
Firenze;Italy;;2019;49565;47817;48373;48333;49128;IT007C1;3176959
Bari;Italy;;2019;28854;27688;27102;27735;27958;IT008C1;3182351
Bologna;Italy;;2019;52989;52211;52333;52836;52567;IT009C1;3181928
Catania;Italy;;2019;25377;24404;23998;23543;23679;IT010C1;2525068
Venezia;Italy;;2019;41237;40650;40505;41048;40934;IT011C1;3164603
Verona;Italy;;2019;44008;43037;42552;43146;44172;IT012C1;3164527
Cremona;Italy;;2019;39383;40173;38748;38763;39931;IT013C1;3177838
Trento;Italy;;2019;47906;47821;47396;46885;48924;IT014C1;3165243
Trieste;Italy;;2019;44952;43181;44427;45413;43564;IT015C1;3165185
Perugia;Italy;;2019;35178;34003;32947;33626;33535;IT016C1;3171180
Ancona;Italy;;2019;39797;38515;39284;39416;38988;IT017C1;3183089
Pescara;Italy;;2019;35501;34059;33114;32735;32477;IT019C1;3171168
Campobasso;Italy;;2019;29331;26683;25803;26264;26838;IT020C1;3180991
Caserta;Italy;;2019;21846;21159;21035;21172;21847;IT021C1;3179866
Taranto;Italy;;2019;24981;22828;23406;22591;23716;IT022C1;3165926
Potenza;Italy;;2019;28865;29706;28046;31140;31336;IT023C1;3170027
Catanzaro;Italy;;2019;26331;25243;25270;24462;26146;IT024C1;2525059
Reggio di Calabria;Italy;;2019;24985;24373;23912;24180;22165;IT025C1;2523630
Sassari;Italy;;2019;27847;26697;25835;25668;25195;IT026C1;3167096
Cagliari;Italy;;2019;34038;32214;31144;32932;32692;IT027C1;2525473
Padova;Italy;;2019;44672;43250;43322;43676;43823;IT028C1;3171728
Brescia;Italy;;2019;43007;41768;41736;42199;43302;IT029C1;3181554
Modena;Italy;;2019;47699;47878;48760;48865;50521;IT030C1;3173331
Foggia;Italy;;2019;23546;23385;22709;22926;23235;IT031C1;3176885
Salerno;Italy;;2019;24468;23763;23391;23826;23923;IT032C1;3168673
Piacenza;Italy;;2019;43156;41659;42046;42119;41317;IT033C1;3171058
Bolzano;Italy;;2019;56757;56196;55829;56395;59361;IT034C1;3181913
Udine;Italy;;2019;39463;39500;39136;39839;39767;IT035C1;3165072
La Spezia;Italy;;2019;41668;40318;39733;39891;39418;IT036C1;3175081
Lecce;Italy;;2019;21798;21067;21064;21426;21570;IT037C1;3174953
Barletta;Italy;;2019;20829;20153;20050;20278;20869;IT038C1;3182340
Pesaro;Italy;;2019;35142;33994;34405;34875;35076;IT039C1;3171173
Como;Italy;;2019;37361;36265;37040;36908;37277;IT040C1;3178229
Pisa;Italy;;2019;41389;40255;39658;39964;40556;IT041C1;3170647
Treviso;Italy;;2019;41235;40230;40923;41187;42131;IT042C1;3165201
Varese;Italy;;2019;40751;38695;38505;39316;38870;IT043C1;3164699
Busto Arsizio;Italy;;2019;40751;38695;38505;39316;38870;IT044C1;3181355
Asti;Italy;;2019;33840;33595;33411;33432;33475;IT045C1;3182714
Pavia;Italy;;2019;32675;31879;32794;32755;31727;IT046C1;3171366
Massa;Italy;;2019;32299;31424;32245;31718;31843;IT047C1;3173775
Cosenza;Italy;;2019;21552;20814;20127;20506;20732;IT048C1;2524907
Carrara;Italy;;2019;32299;31424;32245;31718;31843;IT049C1;3180423
Benevento;Italy;;2019;22494;23134;21321;21726;22065;IT050C1;3182179
Sanremo;Italy;;2019;33097;32147;31744;31525;31253;IT051C1;3167777
Savona;Italy;;2019;38828;37788;36482;36890;36010;IT052C1;3167022
Vigevano;Italy;;2019;32675;31879;32794;32755;31727;IT053C1;3164376
Matera;Italy;;2019;23430;23025;22579;23054;24118;IT054C1;3173721
Viareggio;Italy;;2019;37997;36504;36505;36379;36546;IT055C1;3164433
Acireale;Italy;;2019;25377;24404;23998;23543;23679;IT056C1;2525790
Avellino;Italy;;2019;23205;23155;22369;23745;23913;IT057C1;3182650
Pordenone;Italy;;2019;39519;39548;38534;39981;39984;IT058C1;3170147
Biella;Italy;;2019;35182;34201;33958;34665;35104;IT059C1;3182043
Lecco;Italy;;2019;39450;39334;38935;39567;39763;IT060C1;3174945
Messina;Italy;;2019;24451;23794;23709;23155;23420;IT501C1;2524170
Prato;Italy;;2019;39860;39498;38849;39623;41178;IT502C1;3169921
Parma;Italy;;2019;49447;47724;47487;47670;48570;IT503C1;3171457
Livorno;Italy;;2019;36302;34955;34846;35290;35376;IT504C1;3174659
Reggio nell'Emilia;Italy;;2019;45543;44801;44464;45686;46194;IT505C1;3169522
Ravenna;Italy;;2019;42142;41641;41791;41779;42284;IT506C1;3169561
Ferrara;Italy;;2019;34835;34647;34311;34965;34768;IT507C1;3177090
Rimini;Italy;;2019;40821;39121;38743;38344;39123;IT508C1;3169361
Siracusa;Italy;;2019;27064;26146;20449;25192;24503;IT509C1;2523083
Monza;Italy;;2019;40115;39186;38693;39068;40117;IT510C1;3172629
Bergamo;Italy;;2019;42373;41134;40961;41375;42635;IT511C1;3182164
Forlì;Italy;;2019;41682;40957;40919;41737;41883;IT512C1;3176746
Latina;Italy;;2019;31418;30251;29468;29694;28728;IT513C1;3175058
Vicenza;Italy;;2019;42783;42518;42351;43320;43691;IT514C1;3164419
Terni;Italy;;2019;31252;29799;28906;29671;30324;IT515C1;3165771
Novara;Italy;;2019;38054;37336;37307;38093;38365;IT516C1;3172189
Giugliano in Campania;Italy;;2019;25735;24424;24371;24625;25161;IT517C1;3176059
Vilnius;Lithuania;;2019;36690;38864;40713;41968;43411;LT001C1;593116
Kaunas;Lithuania;;2019;25213;26379;27710;28694;30366;LT002C1;598316
Panevežys;Lithuania;;2019;16536;17030;17584;17639;17776;LT003C1;596128
Alytus;Lithuania;;2019;16450;17164;18106;18383;18798;LT004C1;601084
Klaipeda;Lithuania;;2019;27750;28515;29428;29700;30464;LT501C1;598098
Šiauliai;Lithuania;;2019;19611;20112;20777;21523;22663;LT502C1;594739
Luxembourg;Luxemburg;;2019;98705;99976;101842;103752;105920;LU001C1;2960316
Riga;Latvia;;2019;36751;38857;39877;41613;42232;LV001C1;456172
Liepaja;Latvia;;2019;17835;17681;17848;18152;18900;LV002C1;457954
Jelgava;Latvia;;2019;15112;14320;15071;15707;15965;LV003C1;459279
Daugavpils;Latvia;;2019;12844;12305;12423;12828;12949;LV501C1;460413
Valletta;Malta;;2019;31273;32304;34461;37303;38532;MT001C1;2562305
s-Gravenhage;Netherlands;;2019;54035.4440782784;53205.8438010802;53395.9262223461;53817.2855517976;54328.4356832408;NL001C1;2747373
Amsterdam;Netherlands;;2019;86361;87645;91255;94882;98139;NL002C1;2759794
Rotterdam;Netherlands;;2019;50994.8360340347;50203.4142595921;50480.8472586427;52459.1547760981;53175.0904437021;NL003C1;2747891
Utrecht;Netherlands;;2019;60848;60534;61018;61470;62007;NL004C1;2745912
Eindhoven;Netherlands;;2019;52685;52931;54581;56908;57971;NL005C1;2756253
Tilburg;Netherlands;;2019;40705;40557;41510;42408;43359;NL006C1;2746301
Groningen;Netherlands;;2019;74930;76239;69452;64697;59208;NL007C1;2755251
Enschede;Netherlands;;2019;38684;38365;38747;39303;40602;NL008C1;2756071
Arnhem;Netherlands;;2019;42637;42040;42650;43018;43742;NL009C1;2759661
Heerlen;Netherlands;;2019;41448;41328;41755;44103;46539;NL010C1;2754652
Almere;Netherlands;;2019;36990;35970;36610;37157;38248;NL011C1;2759879
Breda;Netherlands;;2019;48804;48410;48734;50054;50778;NL012C1;2758401
Nijmegen;Netherlands;;2019;42637;42040;42650;43018;43742;NL013C1;2750053
Apeldoorn;Netherlands;;2019;43854;43534;44211;44399;45533;NL014C1;2759706
Leeuwarden;Netherlands;;2019;35501;35594;36514;35617;35060;NL015C1;2751792
Sittard-Geleen;Netherlands;;2019;41448;41328;41755;44103;46539;NL016C1;2747203
Delft;Netherlands;;2019;52511;53209;54630;56014;58078;NL017C1;2757345
Hilversum;Netherlands;;2019;47752;46648;48032;49052;49231;NL018C1;2754064
Amstelveen;Netherlands;;2019;86361;87645;91255;94882;98139;NL019C1;2759798
Roosendaal;Netherlands;;2019;48804;48410;48734;50054;50778;NL020C1;2747930
Spijkenisse;Netherlands;;2019;53010;51912;52055;54402;55017;NL021C1;2746932
Leidschendam-Voorburg;Netherlands;;2019;54443;53205;53066;53230;53326;NL022C1;6544252
Purmerend;Netherlands;;2019;86361;87645;91255;94882;98139;NL023C1;2748413
Vlaardingen;Netherlands;;2019;53010;51912;52055;54402;55017;NL024C1;2745467
Velsen;Netherlands;;2019;43294;43285;43613;41032;40373;NL025C1;2745673
Alphen aan den Rijn;Netherlands;;2019;39375;39370;38862;38628;39695;NL026C1;2759875
Capelle aan den IJssel;Netherlands;;2019;53010;51912;52055;54402;55017;NL027C1;2758012
Bergen op Zoom;Netherlands;;2019;48804;48410;48734;50054;50778;NL028C1;2759145
Katwijk;Netherlands;;2019;47027;46340;44574;43928;43574;NL029C1;2753010
Gouda;Netherlands;;2019;39375;39370;38862;38628;39695;NL030C1;2755420
Hoorn;Netherlands;;2019;33047;33307;33555;34056;34695;NL031C1;2753638
Middelburg;Netherlands;;2019;36416;36223;37226;38203;39361;NL032C1;2750896
Haarlem;Netherlands;;2019;39627.1229939424;39063.8276325616;39043.1666749647;38059.2065720687;38266.4617376151;NL501C1;2755003
Zaanstad;Netherlands;;2019;32670;33049;33822;32430;34128;NL502C1;2744114
s-Hertogenbosch;Netherlands;;2019;48602;46702;47629;48648;50020;NL503C1;2747351
Amersfoort;Netherlands;;2019;60848;60534;61018;61470;62007;NL504C1;2759821
Maastricht;Netherlands;;2019;41448;41328;41755;44103;46539;NL505C1;2751283
Dordrecht;Netherlands;;2019;43926;44210;44959;45644;46714;NL506C1;2756669
Leiden;Netherlands;;2019;47027;46340;44574;43928;43574;NL507C1;2751773
Haarlemmermeer;Netherlands;;2019;86361;87645;91255;94882;98139;NL508C1;2753801
Zoetermeer;Netherlands;;2019;54443;53205;53066;53230;53326;NL509C1;2743856
Zwolle;Netherlands;;2019;43055;43032;44436;44866;46133;NL511C1;2743477
Ede;Netherlands;;2019;43854;43534;44211;44399;45533;NL512C1;2756429
Deventer;Netherlands;;2019;37365;37509;38389;38653;40649;NL513C1;2756987
Alkmaar;Netherlands;;2019;39552;38760;39355;38279;38704;NL514C1;2759899
Venlo;Netherlands;;2019;43302;43849;44469;45149;47062;NL515C1;2745641
Helmond;Netherlands;;2019;52685;52931;54581;56908;57971;NL516C1;2754447
Hengelo;Netherlands;;2019;38684;38365;38747;39303;40602;NL517C1;2754394
Schiedam;Netherlands;;2019;53010;51912;52055;54402;55017;NL518C1;2747596
Almelo;Netherlands;;2019;38684;38365;38747;39303;40602;NL519C1;2759887
Lelystad;Netherlands;;2019;36990;35970;36610;37157;38248;NL520C1;2751738
Warszawa;Poland;;2019;72187;74243;76227;77616;80362;PL001C1;756135
Lódz;Poland;;2019;29887;30605;31947;33206;33615;PL002C1;3093133
Kraków;Poland;;2019;38295;40092;41732;43759;45791;PL003C1;3094802
Wroclaw;Poland;;2019;38386;40096;42432;44029;45440;PL004C1;3081368
Poznan;Poland;;2019;47996;49812;51091;52585;54458;PL005C1;3088171
Gdansk;Poland;;2019;36422;35819;35669;38093;40007;PL006C1;3099434
Szczecin;Poland;;2019;28867;29122;30471;32002;32386;PL007C1;3083829
Bydgoszcz;Poland;;2019;25949;25917;26689;27914;28675;PL008C1;3102014
Lublin;Poland;;2019;22686;23554;24292;24407;25292;PL009C1;765876
Katowice;Poland;;2019;33325;34226;34915;35857;35987;PL010C1;3096472
Bialystok;Poland;;2019;20942;21210;21730;22223;22830;PL011C1;776069
Kielce;Poland;;2019;19991;19938;20502;21160;21631;PL012C1;769250
Torun;Poland;;2019;25949;25917;26689;27914;28675;PL013C1;3083271
Olsztyn;Poland;;2019;19880;20530;21097;21605;22279;PL014C1;763166
Rzeszów;Poland;;2019;21428;22072;22657;24048;24371;PL015C1;759734
Opole;Poland;;2019;23579;23899;25161;26172;26370;PL016C1;3090048
Gorzów Wielkopolski;Poland;;2019;20714;20559;21600;22382;23132;PL017C1;3089684
Zielona Góra;Poland;;2019;20267;20937;21859;22445;23307;PL018C1;3080165
Jelenia Góra;Poland;;2019;20894;21061;22012;21733;22121;PL019C1;3097257
Nowy Sacz;Poland;;2019;15313;15377;16379;16871;16923;PL020C1;763534
Suwalki;Poland;;2019;15545;16256;16574;16819;17280;PL021C1;757718
Konin;Poland;;2019;18947;18997;19468;20213;21031;PL022C1;3095321
Zory;Poland;;2019;23752;22759;22992;23730;23864;PL023C1;3080004
Czestochowa;Poland;;2019;20692;21035;21805;22789;23802;PL024C1;3100946
Radom;Poland;;2019;17077;17282;18031;18724;18700;PL025C1;760778
Plock;Poland;;2019;37419;34284;35849;40270;43561;PL026C1;3088825
Kalisz;Poland;;2019;20487;21013;22263;24306;24733;PL027C1;3096880
Koszalin;Poland;;2019;20310;20679;21261;22372;22769;PL028C1;3095049
Slupsk;Poland;;2019;18814;18888;19691;20236;20474;PL029C1;3085450
Jastrzebie-Zdrój;Poland;;2019;23752;22759;22992;23730;23864;PL030C1;3097391
Siedlce;Poland;;2019;19308;19848;20158;20335;20821;PL031C1;759412
Piotrków Trybunalski;Poland;;2019;23915;23875;24519;25506;26348;PL032C1;3088972
Lubin;Poland;;2019;42356;38675;38322;38971;37686;PL033C1;3092931
Pila;Poland;;2019;18318;18892;19344;20702;21163;PL034C1;3089033
Inowroclaw;Poland;;2019;16553;16820;17273;17449;18352;PL035C1;3097872
Ostrowiec Swietokrzyski;Poland;;2019;19991;19938;20502;21160;21631;PL036C1;762863
Gniezno;Poland;;2019;18947;18997;19468;20213;21031;PL037C1;3099112
Stargard Szczecinski;Poland;;2019;19429;19348;20152;21196;21779;PL038C1;3084840
Ostrów Wielkopolski;Poland;;2019;20487;21013;22263;24306;24733;PL039C1;3089684
Przemysl;Poland;;2019;13271;13448;13896;14176;14681;PL040C1;761168
Zamosc;Poland;;2019;13787;13843;13999;14101;14764;PL041C1;753866
Chelm;Poland;;2019;13787;13843;13999;14101;14764;PL042C1;774558
Pabianice;Poland;;2019;20259;20477;21494;22844;23302;PL043C1;3089578
Glogów;Poland;;2019;42356;38675;38322;38971;37686;PL044C1;3099213
Stalowa Wola;Poland;;2019;17810;18731;19197;19969;20794;PL045C1;758445
Tomaszów Mazowiecki;Poland;;2019;23915;23875;24519;25506;26348;PL046C1;756867
Lomza;Poland;;2019;15550;16445;16993;17347;17822;PL047C1;766027
Leszno;Poland;;2019;21449;22166;22954;23974;24767;PL048C1;3093524
Swidnica;Poland;;2019;18025;18106;19106;19852;20623;PL049C1;3084093
Zgierz;Poland;;2019;20259;20477;21494;22844;23302;PL050C1;3080251
Tczew;Poland;;2019;19451;19712;20782;21377;22201;PL051C1;3083426
Elk;Poland;;2019;14706;14729;15235;15587;16331;PL052C1;772621
Gdynia;Poland;;2019;36422;35819;35669;38093;40007;PL501C1;3099424
Sosnowiec;Poland;;2019;23143;22835;24233;25039;26235;PL502C1;3085128
Gliwice;Poland;;2019;29592;29631;31428;32333;34050;PL503C1;3099230
Zabrze;Poland;;2019;29592;29631;31428;32333;34050;PL504C1;3080985
Bytom;Poland;;2019;18478;18597;19137;19972;20040;PL505C1;3101950
Bielsko-Biala;Poland;;2019;24632;24813;26244;28238;29336;PL506C1;3103402
Ruda Slaska;Poland;;2019;33325;34226;34915;35857;35987;PL507C1;3086800
Rybnik;Poland;;2019;23752;22759;22992;23730;23864;PL508C1;3086586
Tychy;Poland;;2019;35322;33452;33200;34119;35067;PL509C1;3082914
Walbrzych;Poland;;2019;18025;18106;19106;19852;20623;PL511C1;3082707
Elblag;Poland;;2019;16804;16736;17447;18200;18933;PL512C1;3099759
Wloclawek;Poland;;2019;16617;17648;17496;18890;18990;PL513C1;3081741
Tarnów;Poland;;2019;17351;16800;17028;17739;17890;PL514C1;757026
Chorzów;Poland;;2019;33325;34226;34915;35857;35987;PL515C1;3101619
Legnica;Poland;;2019;42356;38675;38322;38971;37686;PL516C1;3093692
Grudziadz;Poland;;2019;16067;16817;17239;17845;18738;PL517C1;3098218
Lisboa;Portugal;;2019;39608;39268;39251;39414;39950;PT001C1;2267057
Porto;Portugal;;2019;26829;26598;27293;27876;28955;PT002C1;2735943
Braga;Portugal;;2019;22423;22585;23261;23771;25138;PT003C1;2742032
Funchal;Portugal;;2019;27056;27046;27669;28117;29445;PT004C1;2267827
Coimbra;Portugal;;2019;25889;25745;25781;26937;27781;PT005C1;2740637
Setúbal;Portugal;;2019;39608;39268;39251;39414;39950;PT006C1;2262963
Ponta Delgada;Portugal;;2019;26202;26037;26184;26600;27205;PT007C1;6941014
Aveiro;Portugal;;2019;26997;26788;27587;28843;29797;PT008C1;2742611
Faro;Portugal;;2019;28768;28525;29606;30544;32382;PT009C1;2268339
Seixal;Portugal;;2019;39608;39268;39251;39414;39950;PT010C1;7732032
Amadora;Portugal;;2019;39608;39268;39251;39414;39950;PT011C1;2271772
Almada;Portugal;;2019;39608;39268;39251;39414;39950;PT012C1;2271961
Odivelas;Portugal;;2019;39608;39268;39251;39414;39950;PT013C1;2265467
Viseu;Portugal;;2019;22372;22478;22234;22764;22622;PT014C1;2732265
Valongo;Portugal;;2019;26829;26598;27293;27876;28955;PT015C1;2732978
Viana do Castelo;Portugal;;2019;21492;22223;22346;22297;23094;PT016C1;2732773
Paredes;Portugal;;2019;26829;26598;27293;27876;28955;PT017C1;2736657
Barreiro;Portugal;;2019;39608;39268;39251;39414;39950;PT018C1;2271071
Póvoa de Varzim;Portugal;;2019;26829;26598;27293;27876;28955;PT019C1;2735787
Sintra;Portugal;;2019;39608;39268;39251;39414;39950;PT501C1;2262912
Vila Nova de Gaia;Portugal;;2019;26829;26598;27293;27876;28955;PT502C1;2732544
Matosinhos;Portugal;;2019;26829;26598;27293;27876;28955;PT503C1;2737824
Gondomar;Portugal;;2019;26829;26598;27293;27876;28955;PT504C1;2738925
Guimarães;Portugal;;2019;22639;22954;23813;25092;25320;PT505C1;2738752
Vila Franca de Xira;Portugal;;2019;39608;39268;39251;39414;39950;PT508C1;2261639
Bucuresti;Romania;;2019;48925;51821;53448;58162;59892;RO001C1;683506
Cluj-Napoca;Romania;;2019;24042;24863;26347;26796;30150;RO002C1;681290
Timisoara;Romania;;2019;25474;26815;26559;29059;30893;RO003C1;665087
Craiova;Romania;;2019;14763;15052;15853;16161;16717;RO004C1;680332
Braila;Romania;;2019;14136;14777;14598;15108;16284;RO005C1;683902
Oradea;Romania;;2019;14753;15175;16490;17101;18177;RO006C1;671768
Bacau;Romania;;2019;13326;12836;13202;14031;14408;RO007C1;685948
Arad;Romania;;2019;19464;20013;20064;21721;23203;RO008C1;686254
Sibiu;Romania;;2019;21312;21367;21466;23269;25944;RO009C1;667268
Târgu Mures;Romania;;2019;15543;15556;16482;17229;17588;RO010C1;665004
Piatra Neamt;Romania;;2019;11525;11909;11994;12857;13636;RO011C1;670889
Calarasi;Romania;;2019;10674;13283;11138;11511;12018;RO012C1;683022
Giurgiu;Romania;;2019;8582;10602;9642;10304;10180;RO013C1;677106
Alba Iulia;Romania;;2019;19164;19059;20036;20999;22261;RO014C1;686578
Focsani;Romania;;2019;11804;12279;12384;13100;13702;RO015C1;678015
Târgu Jiu;Romania;;2019;19984;20174;18544;20645;21935;RO016C1;665010
Tulcea;Romania;;2019;15070;15776;15391;16234;17290;RO017C1;664518
Târgoviste;Romania;;2019;14323;13410;14100;15399;16019;RO018C1;665024
Slatina;Romania;;2019;11674;11856;12393;12493;13259;RO019C1;666767
Bârlad;Romania;;2019;9600;9391;9540;9760;10672;RO020C1;684802
Roman;Romania;;2019;11525;11909;11994;12857;13636;RO021C1;668732
Bistrita;Romania;;2019;14868;14322;14725;15886;17000;RO022C1;684657
Constanta;Romania;;2019;24974;28054;30652;28939;29756;RO501C1;680963
Iasi;Romania;;2019;14750;15851;16272;16643;17654;RO502C1;675810
Galati;Romania;;2019;13784;14463;14844;14517;14706;RO503C1;677697
Brasov;Romania;;2019;23806;24096;24677;25575;27986;RO504C1;683844
Ploiesti;Romania;;2019;19555;21345;28578;24638;27293;RO505C1;670474
Pitesti;Romania;;2019;16706;17445;18348;19154;20562;RO506C1;670609
