"";"Cons.Nec";"Cov.Nec";"RoN"
"IND";0,429;0,462;0,667
"CAP";0,571;0,889;0,947
"VUL";0,5;0,778;0,9
"~IND";0,571;0,571;0,684
"~CAP";0,429;0,333;0,429
"~VUL";0,5;0,389;0,45
