"";"IND";"CAP";"VUL";"MIT"
"IND";1;-0,209656967344384;0,104828483672192;-0,10989010989011
"CAP";-0,209656967344384;1;0,333333333333334;0,524142418360959
"VUL";0,104828483672192;0,333333333333334;1;0,366899692852671
"MIT";-0,10989010989011;0,524142418360959;0,366899692852671;1
