"";"Cons.Suf";"Cov.Suf";"PRI"
"IND";0,462;0,429;0,462
"CAP";0,889;0,571;0,889
"VUL";0,778;0,5;0,778
"~IND";0,571;0,571;0,571
"~CAP";0,333;0,429;0,333
"~VUL";0,389;0,5;0,389
